Product ID,Product Name,Website,Headquarters,Supported Platforms,Free Trial,Self Signup,Pricing Available,Has Freemium,Pricing Tier,Plan Name,Monthly Price,Yearly Price
1play,1Play,https://1play.tv/,Romania,Raspberry Pi,true,true,true,false,affordable,Starter Price,5.47,
acumen-cms,Acumen CMS,https://acumencms.com/,India,,true,false,true,false,affordable,Platinum,8,
acumen-cms,Acumen CMS,https://acumencms.com/,India,,true,false,true,false,affordable,Custom Advanced,11,
adfloow,AdFloow,https://adfloow.com/,Sweden,Android; BrightSign; Fire OS; Raspberry Pi; Windows; webOS,false,false,true,false,affordable,All features included,9.21,
admefy,Admefy,https://admefy.com/admefy-digital-signage,Spain,,false,true,false,true,,Free,0,0
admira,Admira,https://admira.com/en/,Spain,Android; ChromeOS; Fire OS; Linux; Raspberry Pi; Tizen; Windows; iOS; webOS,true,true,true,false,midRange,Admira Basic,17,
admooh,Admooh,https://site.admooh.com/,Brazil,Android; Fire OS; Linux; Raspberry Pi; Tizen; Windows,false,true,true,false,affordable,Light,5.1,51.95
alpha-digital,Alpha Digital,https://alphadigital.co/products/digital-signage-software,Thailand,Android; Fire OS; Linux; Windows,false,false,true,false,,,,
appsuite,AppSuite,https://www.eyefactive.com/en/touchscreen-cms-appsuite,Germany,Windows,false,false,true,true,,,,
beeceen,BEECEEN,https://www.xplace-group.com/en/products/beeceen/,Germany,Android; Fire OS; Linux; Windows; iOS,true,false,true,false,midRange,Core,16,
bharat-signage,Bharat Signage,https://bharatsignage.com/,India,Android; Fire OS,false,true,true,true,affordable,Free,0,0
bharat-signage,Bharat Signage,https://bharatsignage.com/,India,Android; Fire OS,false,true,true,true,affordable,Commercial,5.91,49.68
bizplay,Bizplay,https://www.bizplay.com/,Netherlands,Raspberry Pi; Web Browser,true,true,true,false,affordable,Smart,14.82,151.68
brandtv,Brand TV,https://brandtv.pl/system,Poland,,false,false,true,false,midRange,Cloud,17.18,
bravia-signage-free,BRAVIA Signage Free,https://pro.sony/en_EE/products/display-software/bravia-signage-free,Japan,BRAVIA,false,true,true,true,,Free,0,0
breeze,Breeze,https://keywesttechnology.com/breeze-digital-signage,USA,Web Browser,true,false,false,false,,Breeze TOTALCare,,
bricks,BRICKS,https://www.bricks.tools/,Taiwan,Android; Fire OS; Linux; Raspberry Pi; Web Browser; iOS; macOS,true,true,true,true,affordable,Free,0,0
bricks,BRICKS,https://www.bricks.tools/,Taiwan,Android; Fire OS; Linux; Raspberry Pi; Web Browser; iOS; macOS,true,true,true,true,affordable,Basic,5,
brightsign,BrightSign,https://www.brightsign.biz/,USA,BrightSign,true,true,true,false,affordable,bsn.Control,,139
budsense,BudSense,https://www.mybudsense.com/,USA,,true,false,true,false,,,,
buetema,Bütema,https://www.buetema-ag.de/en/digital-signage/,Germany,Android; Fire OS; Windows,false,false,true,false,premium,DS frontend license,24,
carousel,Carousel,https://www.carouselsignage.com/,USA,BrightSign; ChromeOS; Web Browser; iOS; macOS; tvOS; webOS,false,false,true,false,premium,Core,,300
castit,Castit,https://castitsignage.com/,Netherlands,Android; ChromeOS; Fire OS; Linux; Tizen; Web Browser; Windows; webOS,false,true,true,true,midRange,Basic,0,0
castit,Castit,https://castitsignage.com/,Netherlands,Android; ChromeOS; Fire OS; Linux; Tizen; Web Browser; Windows; webOS,false,true,true,true,midRange,Professional,21.66,
castmill,Castmill,https://castmill.com/,Sweden,Android; ChromeOS; Fire OS; Linux; Raspberry Pi; Web Browser; webOS,true,true,true,false,affordable,Starter,7.25,
cloudshow,CloudShow,https://cloud.show/,Canada,Android; ChromeOS; Fire OS; Windows; iOS,true,true,true,true,affordable,1 device,0,0
cloudshow,CloudShow,https://cloud.show/,Canada,Android; ChromeOS; Fire OS; Windows; iOS,true,true,true,true,affordable,Enterprise,8,
cms-signage,CMS Signage,https://cmssignage.com/,India,Android; Fire OS,true,true,true,false,affordable,Main,10,110
